org,name,full_name,url,private,archived,fork,default_branch,pushed_at,has_gitignore,has_readme,notebooks_ipynb,files_py,files_tex,files_md,files_yml,total_files,branches_count
high-energy-physics-research,Academic-Research-Journaling,High-Energy-Physics-Research/Academic-Research-Journaling,https://github.com/High-Energy-Physics-Research/Academic-Research-Journaling,False,False,False,main,2026-08-07T16:02:12Z,True,True,40,0,239,2,4,672,3
high-energy-physics-research,Bayesian-Inference-Research,High-Energy-Physics-Research/Bayesian-Inference-Research,https://github.com/High-Energy-Physics-Research/Bayesian-Inference-Research,False,False,False,main,2026-05-28T20:33:39Z,True,False,2,0,0,0,3,29,2
high-energy-physics-research,cern-root-student-course,High-Energy-Physics-Research/cern-root-student-course,https://github.com/High-Energy-Physics-Research/cern-root-student-course,False,False,True,main,2026-02-04T03:10:01Z,True,True,32,3,0,7,4,142,2
high-energy-physics-research,experimental-correlation-uncertainty,High-Energy-Physics-Research/experimental-correlation-uncertainty,https://github.com/High-Energy-Physics-Research/experimental-correlation-uncertainty,False,False,False,main,2026-08-05T12:19:56Z,True,True,4,2,0,1,2,66,2
high-energy-physics-research,Gaussian-Process-Research,High-Energy-Physics-Research/Gaussian-Process-Research,https://github.com/High-Energy-Physics-Research/Gaussian-Process-Research,False,False,False,main,2026-08-05T12:19:20Z,True,True,20,0,0,1,4,104,2
high-energy-physics-research,gpytorch,High-Energy-Physics-Research/gpytorch,https://github.com/High-Energy-Physics-Research/gpytorch,False,False,True,main,2026-05-28T20:33:34Z,True,True,50,323,0,7,7,515,2
high-energy-physics-research,heavy-ion-collision-simulation,High-Energy-Physics-Research/heavy-ion-collision-simulation,https://github.com/High-Energy-Physics-Research/heavy-ion-collision-simulation,False,False,False,main,2026-05-13T16:42:30Z,False,False,0,0,0,0,0,0,0
high-energy-physics-research,high-energy-physics-research.github.io,High-Energy-Physics-Research/high-energy-physics-research.github.io,https://github.com/High-Energy-Physics-Research/high-energy-physics-research.github.io,False,False,False,main,2026-05-28T20:33:34Z,True,True,0,0,0,1,7,65,1
high-energy-physics-research,ROSE_framework,High-Energy-Physics-Research/ROSE_framework,https://github.com/High-Energy-Physics-Research/ROSE_framework,False,False,True,main,2025-02-11T19:13:43Z,False,True,5,0,0,1,0,8,1
high-energy-physics-research,SummerSchool2023,High-Energy-Physics-Research/SummerSchool2023,https://github.com/High-Energy-Physics-Research/SummerSchool2023,False,False,True,main,2026-05-28T20:33:50Z,False,True,8,635,0,6,2,1503,2
high-energy-physics-research,Universality_Github,High-Energy-Physics-Research/Universality_Github,https://github.com/High-Energy-Physics-Research/Universality_Github,False,False,True,main,2026-05-27T18:50:36Z,True,True,3,20,0,1,0,3821,1
