org,name,full_name,url,private,archived,fork,default_branch,pushed_at,has_gitignore,has_readme,notebooks_ipynb,files_py,files_tex,files_md,files_yml,total_files,branches_count
academic-codex,academic-codex.github.io,Academic-Codex/academic-codex.github.io,https://github.com/Academic-Codex/academic-codex.github.io,False,False,False,main,2026-02-04T03:15:27Z,True,True,0,0,0,1,6,241,1
academic-codex,DPG5011-Formacao-do-Cientista-Empreendedor,Academic-Codex/DPG5011-Formacao-do-Cientista-Empreendedor,https://github.com/Academic-Codex/DPG5011-Formacao-do-Cientista-Empreendedor,False,False,False,main,2026-02-04T03:09:25Z,True,True,1,0,0,1,4,31,2
academic-codex,EAP5054-Formacao-do-Cientista-Empreendedor-II,Academic-Codex/EAP5054-Formacao-do-Cientista-Empreendedor-II,https://github.com/Academic-Codex/EAP5054-Formacao-do-Cientista-Empreendedor-II,False,False,False,main,2026-02-04T03:09:25Z,False,True,1,0,0,1,4,31,2
academic-codex,FCM0101-Fisica-I,Academic-Codex/FCM0101-Fisica-I,https://github.com/Academic-Codex/FCM0101-Fisica-I,False,False,False,main,2026-02-04T03:09:55Z,True,True,1,0,0,1,3,29,2
academic-codex,FCM0102-Fisica-II,Academic-Codex/FCM0102-Fisica-II,https://github.com/Academic-Codex/FCM0102-Fisica-II,False,False,False,main,2026-02-04T03:10:12Z,True,True,1,0,0,1,3,29,2
academic-codex,FFI0180-Laboratorio-de-Fisica-Geral-I,Academic-Codex/FFI0180-Laboratorio-de-Fisica-Geral-I,https://github.com/Academic-Codex/FFI0180-Laboratorio-de-Fisica-Geral-I,False,False,False,main,2026-02-04T03:10:14Z,True,True,1,0,0,1,3,29,2
academic-codex,FFI0181-Laboratorio-de-Fisica-Geral-II,Academic-Codex/FFI0181-Laboratorio-de-Fisica-Geral-II,https://github.com/Academic-Codex/FFI0181-Laboratorio-de-Fisica-Geral-II,False,False,False,main,2026-02-04T03:10:13Z,True,True,1,0,0,1,4,33,2
academic-codex,IF4300214-Fisica-Experimental-IV,Academic-Codex/IF4300214-Fisica-Experimental-IV,https://github.com/Academic-Codex/IF4300214-Fisica-Experimental-IV,False,False,False,main,2026-02-04T03:10:20Z,False,True,1,0,0,1,4,31,2
academic-codex,IF4302111-Fisica-I,Academic-Codex/IF4302111-Fisica-I,https://github.com/Academic-Codex/IF4302111-Fisica-I,False,False,False,main,2026-02-04T03:10:24Z,False,True,1,0,0,1,4,33,2
academic-codex,IF4302112-Fisica-II,Academic-Codex/IF4302112-Fisica-II,https://github.com/Academic-Codex/IF4302112-Fisica-II,False,False,False,main,2026-02-04T03:10:37Z,True,True,14,0,0,1,4,58,2
